time,date,lat,lon,alt_m,speed_km_h,bearing,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
20:40:25,30/10/2020,50.73131600,-3.51774840,65.10,0.3334,25.78,1392,-660,16688,-291,-64,-93
20:40:28,30/10/2020,50.73131600,-3.51775530,65.10,0.9816,141.18,1296,-680,16644,-291,-78,-128
20:40:30,30/10/2020,50.73132300,-3.51776170,65.10,0.6112,143.99,1364,-628,16588,-277,-59,-122
20:40:32,30/10/2020,50.73132300,-3.51776310,65.10,0.0741,123.20,1324,-752,16676,-282,-77,-130
20:40:34,30/10/2020,50.73133100,-3.51777170,65.10,0.3148,330.15,1488,-724,16444,-276,-42,-111
20:40:36,30/10/2020,50.73133900,-3.51778670,65.10,0.5926,345.89,1448,-652,16540,-279,-69,-100
20:40:38,30/10/2020,50.73133500,-3.51779010,65.10,0.2963,258.06,1360,-672,16704,-273,-58,-107
20:40:40,30/10/2020,50.73133500,-3.51779170,65.10,0.0370,354.55,1460,-736,16780,-290,-75,-107
20:40:42,30/10/2020,50.73133100,-3.51779010,65.10,0.3519,159.48,1428,-648,16664,-285,-69,-113
20:40:44,30/10/2020,50.73132700,-3.51779530,65.10,0.2408,174.76,1388,-576,16672,-276,-98,-122
20:40:46,30/10/2020,50.73133100,-3.51780490,65.10,0.3704,207.27,1320,-616,16700,-281,-56,-120
20:40:48,30/10/2020,50.73133500,-3.51781850,65.10,0.5741,245.70,1496,-588,16584,-269,-79,-112
20:40:51,30/10/2020,50.73134200,-3.51782490,65.10,0.6112,344.48,1384,-656,16572,-293,-53,-97
20:40:53,30/10/2020,50.73134600,-3.51782490,65.10,0.4630,347.59,1320,-640,16412,-296,-65,-100
20:40:55,30/10/2020,50.73134600,-3.51782680,65.10,0.1296,341.58,1492,-772,16504,-283,-81,-117
20:40:57,30/10/2020,50.73134600,-3.51782680,65.10,0.2778,17.93,1420,-616,16696,-271,-66,-112
20:40:59,30/10/2020,50.73134600,-3.51782680,65.10,0.2222,159.35,1408,-748,16556,-261,-84,-115
20:41:01,30/10/2020,50.73134600,-3.51782490,65.10,0.3334,104.92,1432,-652,16620,-307,-38,-107
20:41:03,30/10/2020,50.73134600,-3.51782320,65.10,0.3148,190.04,1460,-624,16564,-286,-63,-83
20:41:05,30/10/2020,50.73134600,-3.51782320,65.10,0.3334,169.36,1356,-720,16780,-274,-64,-104
20:41:07,30/10/2020,50.73134600,-3.51782320,65.10,0.1852,61.67,1528,-656,16684,-301,-93,-112
20:41:09,30/10/2020,50.73134600,-3.51782160,65.10,0.1296,23.09,1372,-696,16712,-252,-55,-97
20:41:11,30/10/2020,50.73134600,-3.51782160,65.10,0.2963,331.99,1420,-736,16580,-287,-56,-100
20:41:13,30/10/2020,50.73134600,-3.51782320,65.10,0.2408,307.74,1420,-644,16596,-271,-63,-125
20:41:15,30/10/2020,50.73134600,-3.51782490,65.10,0.2593,341.14,1320,-700,16512,-283,-49,-128
20:41:17,30/10/2020,50.73134600,-3.51782680,65.10,0.2222,348.26,1300,-708,16620,-287,-75,-94
20:41:19,30/10/2020,50.73135000,-3.51782680,65.10,0.5556,344.10,1420,-612,16480,-280,-52,-127
20:41:21,30/10/2020,50.73135400,-3.51782850,65.10,0.4815,323.08,1444,-760,16584,-287,-62,-132
20:41:23,30/10/2020,50.73135400,-3.51783010,65.10,0.5000,296.05,1380,-728,16656,-292,-98,-125
20:41:25,30/10/2020,50.73135800,-3.51783320,65.10,0.6112,325.58,1428,-576,16468,-282,-61,-109
20:41:27,30/10/2020,50.73135800,-3.51783510,65.10,0.2408,308.80,1456,-636,16600,-291,-92,-121
20:41:29,30/10/2020,50.73135800,-3.51783680,65.10,0.2408,254.96,1372,-688,16592,-293,-36,-126
20:41:31,30/10/2020,50.73135800,-3.51783850,65.10,0.0370,146.72,1428,-648,16660,-273,-81,-120
20:41:33,30/10/2020,50.73135800,-3.51783850,65.10,0.1852,305.30,1280,-656,16684,-266,-75,-104
20:41:35,30/10/2020,50.73136100,-3.51784010,65.10,0.3519,326.59,1368,-756,16684,-284,-65,-144
20:41:37,30/10/2020,50.73136100,-3.51784160,65.10,0.2963,330.05,1436,-656,16572,-291,-75,-91
20:41:39,30/10/2020,50.73136500,-3.51784320,65.10,0.3148,324.41,1400,-780,16544,-297,-66,-127
20:41:41,30/10/2020,50.73136500,-3.51784490,65.10,0.3334,6.98,1400,-744,16588,-272,-92,-113
20:41:43,30/10/2020,50.73136500,-3.51784490,65.10,0.6112,319.74,1316,-732,16612,-291,-78,-117
20:41:45,30/10/2020,50.73136900,-3.51784990,65.10,0.7223,334.89,1328,-692,16528,-275,-59,-115
20:41:47,30/10/2020,50.73137300,-3.51785160,65.10,0.3889,326.61,1348,-628,16592,-286,-53,-113
20:41:49,30/10/2020,50.73137300,-3.51785330,65.10,0.1296,57.05,1380,-676,16600,-285,-74,-105
20:41:51,30/10/2020,50.73137300,-3.51785160,65.10,0.3148,23.85,1484,-684,16604,-298,-70,-103
20:41:53,30/10/2020,50.73137700,-3.51785160,65.10,0.2037,94.79,1464,-728,16708,-275,-60,-115
20:41:55,30/10/2020,50.73137300,-3.51784850,65.10,0.3148,79.23,1324,-708,16576,-292,-91,-133
20:41:57,30/10/2020,50.73137700,-3.51784680,65.10,0.3704,45.90,1408,-748,16700,-283,-88,-113
20:41:59,30/10/2020,50.73137700,-3.51784490,65.10,0.1852,20.53,1408,-676,16640,-273,-69,-114
20:42:01,30/10/2020,50.73137700,-3.51784490,65.10,0.1296,26.71,1372,-760,16792,-293,-78,-124
20:42:03,30/10/2020,50.73137700,-3.51784320,65.10,0.1296,100.00,1376,-668,16704,-285,-61,-114
20:42:05,30/10/2020,50.73137700,-3.51784320,65.10,0.2037,11.79,1368,-592,16628,-293,-66,-97
20:42:07,30/10/2020,50.73138000,-3.51784320,65.10,0.1667,270.96,1408,-684,16544,-260,-39,-116
20:42:09,30/10/2020,50.73138000,-3.51784320,65.10,0.1852,143.10,1436,-740,16620,-273,-74,-118
20:42:11,30/10/2020,50.73138000,-3.51784160,65.10,0.2408,85.88,1376,-676,16624,-291,-65,-130
20:42:13,30/10/2020,50.73138000,-3.51784010,65.10,0.3519,65.41,1348,-656,16784,-288,-36,-144
20:42:15,30/10/2020,50.73138000,-3.51783850,65.10,0.2037,59.72,1392,-664,16488,-254,-58,-106
20:42:17,30/10/2020,50.73138000,-3.51783680,65.10,0.3704,141.81,1312,-588,16560,-294,-78,-128
20:42:19,30/10/2020,50.73138000,-3.51783510,65.10,0.3704,78.42,1440,-672,16520,-276,-82,-103
20:42:21,30/10/2020,50.73138000,-3.51783160,65.10,0.1667,145.18,1424,-712,16544,-253,-62,-118
20:42:23,30/10/2020,50.73138000,-3.51783160,65.10,0.0185,358.37,1400,-708,16636,-260,-74,-104
20:42:25,30/10/2020,50.73138000,-3.51783160,65.10,0.0741,147.99,1416,-612,16668,-282,-97,-113
20:42:27,30/10/2020,50.73137700,-3.51783010,65.10,0.3519,188.47,1400,-672,16568,-283,-86,-137
20:42:29,30/10/2020,50.73140700,-3.51787520,64.70,0.4074,36.88,1380,-616,16696,-271,-32,-107
20:42:31,30/10/2020,50.73140000,-3.51786330,64.10,0.7964,94.60,1388,-632,16592,-264,-74,-115
20:42:33,30/10/2020,50.73139600,-3.51785990,63.70,0.5741,152.92,1384,-692,16468,-271,-79,-120
20:42:35,30/10/2020,50.73139200,-3.51786160,63.00,0.4815,182.84,1388,-692,16624,-255,-58,-102
20:42:37,30/10/2020,50.73139200,-3.51785850,62.80,0.6112,157.60,1380,-632,16600,-284,-63,-108
20:42:39,30/10/2020,50.73138800,-3.51785330,62.90,0.4074,151.31,1376,-752,16536,-279,-79,-111
